,Aprašymas,Buto nuoroda,Buto kaina,Plotas,Širdutės,Skelbimo data,Koregavimo data,Perziurejo skelbimą,Kambarių skaičius,Aukštas,Viso aukštų,Statybos metai,Pastato tipas,Šildymas,Įrengimas,Nauja statyba,Rajonas,Kainauzkvadrata
50," Naujininkai, Panevėžio g., 2 kambarių butas",www.aruodas.lt/1-3017465,88500,53.72,37,2021-03-31,2021-04-07,0,2,5,5,1998,Mūrinis,Centrinis,Įrengtas,Sena statyba,Naujininkai,1647.4311243484735
51," Baltupiai, Kalvarijų g., 2 kambarių butas",www.aruodas.lt/1-3011759,130000,57.0,12,2021-03-16,2021-04-07,1,2,11,16,2006,Blokinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Baltupiai,2280.7017543859647
52," Naujoji Vilnia, Dūmų g., 2 kambarių butas",www.aruodas.lt/1-3010741,44200,26.0,96,2021-03-14,2021-04-05,0,2,1,1,2020,Mūrinis,"Elektra, aeroterminis",Įrengtas,Nauja statyba,Naujoji Vilnia,1700.0
53," Pašilaičiai, Girulių g., 3 kambarių butas",www.aruodas.lt/1-3013339,107000,63.0,47,2021-03-26,2021-03-31,0,3,2,9,2007,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Pašilaičiai,1698.4126984126983
54," Viršuliškės, Viršuliškių g., 2 kambarių butas",www.aruodas.lt/1-3017187,99700,53.52,4,2021-03-31,2021-03-31,1,2,8,11,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Viršuliškės,1862.8550074738414
55," Bajorai, Bajorų kel., 2 kambarių butas",www.aruodas.lt/1-3017193,81200,46.57,12,2021-03-31,2021-03-31,1,2,4,9,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Bajorai,1743.6117672321236
56," Bajorai, Bajorų kel., 2 kambarių butas",www.aruodas.lt/1-3017195,72700,42.17,15,2021-03-31,2021-03-31,1,2,1,9,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Bajorai,1723.9743893763339
57," Bajorai, Bajorų kel., 3 kambarių butas",www.aruodas.lt/1-3017197,103600,61.42,6,2021-03-31,2021-03-31,1,3,2,9,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Bajorai,1686.7469879518071
58," Bajorai, Bajorų kel., 3 kambarių butas",www.aruodas.lt/1-3017199,108600,61.43,4,2021-03-31,2021-03-31,1,3,6,9,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Bajorai,1767.8658635845677
59," Viršuliškės, Viršilų g., 2 kambarių butas",www.aruodas.lt/1-2995191,79000,39.27,12,2021-02-02,2021-04-08,1,2,5,20,2021,Blokinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Viršuliškės,2011.7137764196586
