,Aprašymas,Buto nuoroda,Buto kaina,Plotas,Širdutės,Skelbimo data,Koregavimo data,Perziurejo skelbimą,Kambarių skaičius,Aukštas,Viso aukštų,Statybos metai,Pastato tipas,Šildymas,Įrengimas,Nauja statyba,Rajonas,Kainauzkvadrata
918," Naujamiestis, K. Donelaičio g., 2 kambarių butas",www.aruodas.lt/1-3009545,110000,38.0,14,2021-03-10,2021-04-08,1,2,1,9,1993,Mūrinis,Centrinis,Įrengtas,Sena statyba,Naujamiestis,2894.7368421052633
919," Lazdynai, Architektų g., 2 kambarių butas",www.aruodas.lt/1-3009523,64900,46.8,18,2021-03-10,2021-04-07,1,2,5,5,1970,Blokinis,Centrinis,Įrengtas,Sena statyba,Lazdynai,1386.752136752137
920," Senamiestis, Šaltinių g., 2 kambarių butas",www.aruodas.lt/1-3009447,105900,27.0,19,2021-03-10,2021-03-10,1,2,1,5,2020,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Senamiestis,3922.222222222222
921," Naujamiestis, Savanorių pr., 3 kambarių butas",www.aruodas.lt/1-3009415,92000,50.56,45,2021-03-10,2021-04-06,1,3,4,4,2007,Mūrinis,Dujinis,Įrengtas,Sena statyba,Naujamiestis,1819.620253164557
922," Fabijoniškės, L. Giros g., 3 kambarių butas",www.aruodas.lt/1-3009327,88000,67.0,11,2021-03-10,2021-03-10,1,3,9,10,1992,Blokinis,Centrinis,Įrengtas,Sena statyba,Fabijoniškės,1313.4328358208954
923," Karoliniškės, Algimanto Petro Kavoliuko g., 2 kambarių butas",www.aruodas.lt/1-3009183,80300,41.22,14,2021-03-10,2021-03-10,1,2,2,5,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Karoliniškės,1948.083454633673
924," Naujamiestis, T. Ševčenkos g., 2 kambarių butas",www.aruodas.lt/1-3009117,103000,42.0,7,2021-03-09,2021-03-09,1,2,4,4,1963,Mūrinis,Centrinis,Įrengtas,Sena statyba,Naujamiestis,2452.3809523809523
925," Pašilaičiai, Laisvės pr., 3 kambarių butas",www.aruodas.lt/1-3009093,127000,93.0,6,2021-03-09,2021-03-09,1,3,6,6,1998,Mūrinis,Elektra,Įrengtas,Sena statyba,Pašilaičiai,1365.5913978494623
926," Karoliniškės, Sausio 13-osios g., 3 kambarių butas",www.aruodas.lt/1-3009043,90000,63.6,13,2021-03-09,2021-03-25,1,3,3,9,1974,Blokinis,Centrinis,Įrengtas,Sena statyba,Karoliniškės,1415.0943396226414
928," Užusieniai, Dubičių g., 3 kambarių butas",www.aruodas.lt/1-2499755,71500,111.0,26,2021-03-09,2021-03-31,1,3,1,2,1993,Mūrinis,Dujinis,Dalinė apdaila ,Sena statyba,Užusieniai,644.1441441441441
929," Justiniškės, Rygos g., 2 kambarių butas",www.aruodas.lt/1-3008935,87000,44.54,8,2021-03-09,2021-03-16,1,2,5,9,2021,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Justiniškės,1953.300404131118
930," Salininkai, Pupinės g., 2 kambarių butas",www.aruodas.lt/1-3008927,53000,37.08,39,2021-03-09,2021-04-05,1,2,3,5,1984,Mūrinis,Centrinis,Įrengtas,Sena statyba,Salininkai,1429.341963322546
931," Salininkai, Pupinės g., 1 kambario butas",www.aruodas.lt/1-2987773,52900,37.0,26,2021-01-12,2021-04-05,1,1,3,5,1984,Mūrinis,Centrinis,Įrengtas,Sena statyba,Salininkai,1429.7297297297298
932," Rasos, Kaminkelio g., 3 kambarių butas",www.aruodas.lt/1-3008781,139000,83.3,53,2021-03-09,2021-03-16,1,3,2,5,1998,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Rasos,1668.6674669867948
933," Žirmūnai, Rinktinės g., 3 kambarių butas",www.aruodas.lt/1-3008761,118000,69.3,34,2021-03-09,2021-03-13,1,3,8,9,1976,Blokinis,Centrinis,Įrengtas,Sena statyba,Žirmūnai,1702.7417027417027
934," Naujamiestis, V. Pietario g., 3 kambarių butas",www.aruodas.lt/1-3008643,134000,65.93,18,2021-03-08,2021-04-06,1,3,8,12,1990,Mūrinis,Centrinis,Įrengtas,Sena statyba,Naujamiestis,2032.458668284544
935," Fabijoniškės, S. Stanevičiaus g., 3 kambarių butas",www.aruodas.lt/1-3008619,89000,60.37,30,2021-03-08,2021-04-01,1,3,4,10,1988,Blokinis,Centrinis,Įrengtas,Sena statyba,Fabijoniškės,1474.2421732648668
936," Karoliniškės, Loretos Asanavičiūtės g., 2 kambarių butas",www.aruodas.lt/1-3008563,58500,49.44,53,2021-03-08,2021-03-31,1,2,8,9,1972,Blokinis,Centrinis,Įrengtas,Sena statyba,Karoliniškės,1183.2524271844661
937," Šnipiškės, Giedraičių g., 2 kambarių butas",www.aruodas.lt/1-3008523,129100,54.0,14,2021-03-08,2021-03-23,1,2,3,4,2020,Blokinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Šnipiškės,2390.740740740741
938," Burbiškės, Eišiškių pl., 2 kambarių butas",www.aruodas.lt/1-3008465,97000,43.0,16,2021-03-08,2021-03-08,1,2,5,5,2019,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Burbiškės,2255.813953488372
939," Pašilaičiai, Laisvės pr., 3 kambarių butas",www.aruodas.lt/1-3008309,115000,70.0,56,2021-03-08,2021-03-15,1,3,5,5,2001,Mūrinis,Dujinis,Įrengtas,Sena statyba,Pašilaičiai,1642.857142857143
940," Naujininkai, Kapsų g., 2 kambarių butas",www.aruodas.lt/1-2972731,45000,31.36,61,2021-03-08,2021-03-08,1,2,3,5,1977,Mūrinis,Centrinis,Įrengtas,Sena statyba,Naujininkai,1434.9489795918369
941," Baltupiai, Didlaukio g., 2 kambarių butas",www.aruodas.lt/1-3008275,57300,36.53,39,2021-03-08,2021-03-08,1,2,2,5,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Baltupiai,1568.573774979469
942," Baltupiai, Didlaukio g., 2 kambarių butas",www.aruodas.lt/1-3003895,57300,36.53,9,2021-02-26,2021-02-27,1,2,2,5,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Baltupiai,1568.573774979469
943," Justiniškės, Taikos g., 3 kambarių butas",www.aruodas.lt/1-3008171,87500,67.0,24,2021-03-08,2021-03-09,1,3,3,5,1980,Blokinis,Centrinis,Įrengtas,Sena statyba,Justiniškės,1305.9701492537313
944," Viršuliškės, Spaudos g., 3 kambarių butas",www.aruodas.lt/1-3008153,112000,56.54,5,2021-03-08,2021-03-08,1,3,15,16,2019,Blokinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Viršuliškės,1980.8984789529536
945," Šeškinė, Ukmergės g., 3 kambarių butas",www.aruodas.lt/1-3007883,82000,67.0,16,2021-03-07,2021-03-31,1,3,5,5,1980,Blokinis,Centrinis,Įrengtas,Sena statyba,Šeškinė,1223.8805970149253
946," Naujamiestis, Kauno g., 2 kambarių butas",www.aruodas.lt/1-3007877,90000,42.19,30,2021-03-07,2021-04-02,1,2,2,4,1955,Mūrinis,Elektra,Įrengtas,Sena statyba,Naujamiestis,2133.206921071344
947," Naujamiestis, J. Basanavičiaus g., 2 kambarių butas",www.aruodas.lt/1-3007825,45000,35.12,33,2021-03-06,2021-03-06,1,2,0,3,1940,Mūrinis,Centrinis,Įrengtas,Sena statyba,Naujamiestis,1281.3211845102508
948," Visoriai, Visorių g., 2 kambarių butas",www.aruodas.lt/1-3007811,138000,57.12,10,2021-03-06,2021-03-08,1,2,4,6,2016,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Visoriai,2415.9663865546217
949," Baltupiai, Visorių g., 2 kambarių butas",www.aruodas.lt/1-3007813,138000,57.12,16,2021-03-06,2021-03-25,1,2,4,6,2016,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Baltupiai,2415.9663865546217
950," Viršuliškės, Viršuliškių g., 3 kambarių butas",www.aruodas.lt/1-3007605,75000,63.91,34,2021-03-05,2021-04-06,1,3,6,9,1977,Blokinis,Centrinis,Įrengtas,Sena statyba,Viršuliškės,1173.525269910812
951," Kalnėnai, Kašubų g., 2 kambarių butas",www.aruodas.lt/1-3007563,85000,56.16,6,2021-03-05,2021-03-23,1,2,1,3,2020,Mūrinis,Dujinis,Dalinė apdaila ,Nauja statyba,Kalnėnai,1513.5327635327637
952," Kalnėnai, Kašubų g., 2 kambarių butas",www.aruodas.lt/1-3007555,90000,58.83,10,2021-03-05,2021-03-23,1,2,1,3,2020,Mūrinis,Dujinis,Dalinė apdaila ,Nauja statyba,Kalnėnai,1529.8317185109638
953," Baltupiai, Didlaukio g., 2 kambarių butas",www.aruodas.lt/1-3007501,81000,38.3,8,2021-03-05,2021-04-08,1,2,2,5,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Baltupiai,2114.8825065274154
954," Naujamiestis, Savanorių pr., 3 kambarių butas",www.aruodas.lt/1-3007425,87000,69.0,40,2021-03-05,2021-03-12,1,3,4,9,1976,Monolitinis,Centrinis,Įrengtas,Sena statyba,Naujamiestis,1260.8695652173913
955," Šnipiškės, Kernavės g., 2 kambarių butas",www.aruodas.lt/1-3007401,139000,41.57,37,2021-03-05,2021-03-05,1,2,2,6,2021,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Šnipiškės,3343.757517440462
956," Pašilaičiai, Medeinos g., 3 kambarių butas",www.aruodas.lt/1-3007141,100000,66.42,18,2021-03-04,2021-03-18,1,3,9,9,1986,Blokinis,Centrinis,Įrengtas,Sena statyba,Pašilaičiai,1505.570611261668
957," Senamiestis, Bernardinų g., 2 kambarių butas",www.aruodas.lt/1-3007121,127860,64.0,14,2021-03-04,2021-03-04,1,2,1,3,1940,Mūrinis,Centrinis,Įrengtas,Sena statyba,Senamiestis,1997.8125
958," Markučiai, Manufaktūrų g., 2 kambarių butas",www.aruodas.lt/1-3007109,117000,54.0,58,2021-03-04,2021-04-02,1,2,4,5,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Markučiai,2166.6666666666665
959," Pašilaičiai, Leičių g., 2 kambarių butas",www.aruodas.lt/1-3006843,95015,54.03,11,2021-03-04,2021-03-19,1,2,9,9,2021,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Pašilaičiai,1758.5600592263556
960," Pašilaičiai, Leičių g., 2 kambarių butas",www.aruodas.lt/1-3004503,95000,54.03,11,2021-02-27,2021-03-03,1,2,9,9,2021,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Pašilaičiai,1758.2824356838794
961," Senamiestis, Kauno g., 3 kambarių butas",www.aruodas.lt/1-2971063,116000,53.83,85,2021-03-04,2021-03-04,1,3,4,4,1940,Mūrinis,Centrinis,Įrengtas,Sena statyba,Senamiestis,2154.9321939438973
962," Baltupiai, Didlaukio g., 2 kambarių butas",www.aruodas.lt/1-3006559,75000,35.33,3,2021-03-03,2021-04-07,1,2,5,5,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Baltupiai,2122.841777526182
963," Baltupiai, Didlaukio g., 2 kambarių butas",www.aruodas.lt/1-3003487,75000,35.33,2,2021-02-25,2021-04-07,1,2,5,5,2020,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Baltupiai,2122.841777526182
964," Baltupiai, Didlaukio g., 2 kambarių butas",www.aruodas.lt/1-3006555,69900,38.3,8,2021-03-03,2021-04-07,1,2,2,5,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Baltupiai,1825.0652741514361
965," Baltupiai, Didlaukio g., 2 kambarių butas",www.aruodas.lt/1-3006553,66200,37.58,11,2021-03-03,2021-04-07,1,2,4,5,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Baltupiai,1761.5753060138372
966," Grigiškės, Kovo 11-osios g., 2 kambarių butas",www.aruodas.lt/1-3006507,55900,36.68,19,2021-03-03,2021-03-03,1,2,2,4,1964,Mūrinis,Centrinis,Įrengtas,Sena statyba,Grigiškės,1523.991275899673
967," Karoliniškės, Algimanto Petro Kavoliuko g., 2 kambarių butas",www.aruodas.lt/1-3006497,116500,67.0,22,2021-03-03,2021-04-08,1,2,3,9,2008,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Karoliniškės,1738.8059701492537
968," Antakalnis, T. Kosciuškos g., 2 kambarių butas",www.aruodas.lt/1-3006349,139000,43.84,28,2021-03-03,2021-03-03,1,2,3,3,2021,Mūrinis,Aeroterminis,Dalinė apdaila ,Nauja statyba,Antakalnis,3170.620437956204
969," Antakalnis, T. Kosciuškos g., 2 kambarių butas",www.aruodas.lt/1-3002267,139000,43.84,12,2021-02-22,2021-02-22,1,2,3,3,2021,Mūrinis,Aeroterminis,Dalinė apdaila ,Nauja statyba,Antakalnis,3170.620437956204
970," Žvėrynas, Bebrų g., 3 kambarių butas",www.aruodas.lt/1-3006315,84999,61.7,41,2021-03-03,2021-03-24,1,3,1,2,1940,Mūrinis,Kietu kuru,Įrengtas,Sena statyba,Žvėrynas,1377.6175040518638
971," Pašilaičiai, Gabijos g., 3 kambarių butas",www.aruodas.lt/1-2988915,83000,67.0,25,2021-03-02,2021-03-30,1,3,9,9,1987,Blokinis,Centrinis,Įrengtas,Sena statyba,Pašilaičiai,1238.8059701492537
972," Naujamiestis, Vytenio g., 2 kambarių butas",www.aruodas.lt/1-2999007,139900,51.82,86,2021-03-02,2021-03-31,1,2,3,4,1960,Mūrinis,Dujinis,Įrengtas,Sena statyba,Naujamiestis,2699.7298340409106
973," Senamiestis, Bazilijonų g., 2 kambarių butas",www.aruodas.lt/1-3006121,110000,34.42,20,2021-03-02,2021-03-02,1,2,2,4,1940,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Sena statyba,Senamiestis,3195.816385822196
974," Justiniškės, Rygos g., 2 kambarių butas",www.aruodas.lt/1-2984303,75000,53.92,33,2021-03-01,2021-04-02,1,2,7,9,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Justiniškės,1390.9495548961424
975," Justiniškės, Rygos g., 2 kambarių butas",www.aruodas.lt/1-3005299,95000,53.2,9,2021-03-01,2021-03-05,1,2,5,6,2021,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Justiniškės,1785.7142857142856
976," Justiniškės, Rygos g., 2 kambarių butas",www.aruodas.lt/1-3005261,95000,53.2,6,2021-03-01,2021-03-05,1,2,5,6,2021,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Justiniškės,1785.7142857142856
977," Pašilaičiai, Leičių g., 2 kambarių butas",www.aruodas.lt/1-3005165,70200,46.0,9,2021-03-01,2021-04-01,1,2,2,9,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Pašilaičiai,1526.0869565217392
978," Lazdynėliai, Lazdynėlių g., 2 kambarių butas",www.aruodas.lt/1-2993987,99500,55.04,78,2021-03-01,2021-03-26,1,2,1,4,2020,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Lazdynėliai,1807.7761627906978
979," Lazdynėliai, Lietaus g., 2 kambarių butas",www.aruodas.lt/1-3005119,88300,42.51,5,2021-03-01,2021-03-29,1,2,4,5,2022,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Lazdynėliai,2077.1583156904258
980," Lazdynėliai, Lietaus g., 2 kambarių butas",www.aruodas.lt/1-3005117,86800,42.51,12,2021-03-01,2021-03-15,1,2,3,5,2022,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Lazdynėliai,2041.872500588097
981," Lazdynėliai, Lietaus g., 2 kambarių butas",www.aruodas.lt/1-3005109,104400,53.89,7,2021-03-01,2021-03-29,1,2,2,4,2022,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Lazdynėliai,1937.2796437186862
982," Antakalnis, Kuosų g., 2 kambarių butas",www.aruodas.lt/1-3005069,131300,51.26,8,2021-03-01,2021-03-27,1,2,6,7,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Antakalnis,2561.4514241123684
983," Naujoji Vilnia, Naujoji g., 2 kambarių butas",www.aruodas.lt/1-3004633,53000,50.0,14,2021-02-28,2021-02-28,1,2,2,2,1958,Mūrinis,"Kietu kuru, kita",Neįrengtas     ,Sena statyba,Naujoji Vilnia,1060.0
984," Antakalnis, Duburio g., 3 kambarių butas",www.aruodas.lt/1-3004577,88000,67.66,16,2021-02-28,2021-02-28,1,3,4,4,2021,Blokinis,"Centrinis kolektorinis, dujinis",Dalinė apdaila ,Nauja statyba,Antakalnis,1300.620750812888
985," Antakalnis, Duburio g., 3 kambarių butas",www.aruodas.lt/1-3004571,95000,66.39,5,2021-02-28,2021-02-28,1,3,3,4,2021,Blokinis,"Centrinis kolektorinis, dujinis",Dalinė apdaila ,Nauja statyba,Antakalnis,1430.9383943364965
986," Antakalnis, Duburio g., 2 kambarių butas",www.aruodas.lt/1-3004569,76000,53.77,13,2021-02-28,2021-02-28,1,2,2,4,2021,Blokinis,"Centrinis kolektorinis, dujinis",Dalinė apdaila ,Nauja statyba,Antakalnis,1413.4275618374556
987," Karoliniškės, Sausio 13-osios g., 2 kambarių butas",www.aruodas.lt/1-3004267,104000,37.32,16,2021-02-26,2021-02-26,1,2,5,7,2016,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Karoliniškės,2786.7095391211146
988," Senamiestis, Bazilijonų g., 2 kambarių butas",www.aruodas.lt/1-3004253,132000,50.29,29,2021-02-26,2021-03-30,1,2,2,4,1940,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Sena statyba,Senamiestis,2624.776297474647
989," Senamiestis, Bazilijonų g., 2 kambarių butas",www.aruodas.lt/1-2996591,142000,48.53,12,2021-02-05,2021-02-05,1,2,2,4,1940,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Sena statyba,Senamiestis,2926.025139089223
990," Karoliniškės, Algimanto Petro Kavoliuko g., 3 kambarių butas",www.aruodas.lt/1-3004119,99000,63.7,30,2021-02-26,2021-03-07,1,3,4,9,1973,Blokinis,Centrinis,Įrengtas,Sena statyba,Karoliniškės,1554.160125588697
991," Naujamiestis, Gerosios Vilties g., 2 kambarių butas",www.aruodas.lt/1-3004059,103800,46.0,18,2021-02-26,2021-03-09,1,2,2,6,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Naujamiestis,2256.521739130435
992," Naujamiestis, Gerosios Vilties g., 2 kambarių butas",www.aruodas.lt/1-2871219,97500,47.0,39,2021-02-26,2021-03-04,1,2,3,6,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Naujamiestis,2074.468085106383
993," Senamiestis, T. Ševčenkos g., 2 kambarių butas",www.aruodas.lt/1-3004005,103000,42.0,11,2021-02-26,2021-02-26,1,2,4,5,1963,Mūrinis,Centrinis,Įrengtas,Sena statyba,Senamiestis,2452.3809523809523
994," Justiniškės, Rygos g., 3 kambarių butas",www.aruodas.lt/1-3003985,79500,55.0,9,2021-02-26,2021-03-25,1,3,8,9,2021,Mūrinis,Centrinis,Dalinė apdaila ,Nauja statyba,Justiniškės,1445.4545454545455
995," Karoliniškės, Apolinaro Juozo Povilaičio g., 2 kambarių butas",www.aruodas.lt/1-3003975,74700,49.5,43,2021-02-26,2021-03-23,1,2,3,9,1974,Blokinis,Centrinis,Įrengtas,Sena statyba,Karoliniškės,1509.090909090909
996," Baltupiai, Didlaukio g., 2 kambarių butas",www.aruodas.lt/1-3003901,67100,36.53,12,2021-02-26,2021-03-18,1,2,2,5,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Baltupiai,1836.8464275937586
997," Šnipiškės, Kalvarijų g., 3 kambarių butas",www.aruodas.lt/1-3003885,117000,69.2,5,2021-02-26,2021-03-12,1,3,8,9,1990,Mūrinis,Centrinis,Dalinė apdaila ,Sena statyba,Šnipiškės,1690.7514450867052
998," Pilaitė, Pilupėnų g., 3 kambarių butas",www.aruodas.lt/1-3003865,103000,69.98,13,2021-02-25,2021-03-25,1,3,1,1,2020,Mūrinis,Dujinis,Dalinė apdaila ,Nauja statyba,Pilaitė,1471.8490997427837
999," Žvėrynas, Lapių g., 2 kambarių butas",www.aruodas.lt/1-3003775,139200,46.4,21,2021-02-25,2021-03-03,1,2,1,4,2022,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Žvėrynas,3000.0
1000," Senamiestis, Žemaitijos g., 2 kambarių butas",www.aruodas.lt/1-3003729,107000,43.49,42,2021-02-25,2021-03-06,1,2,3,3,1900,Mūrinis,Kietu kuru,Įrengtas,Sena statyba,Senamiestis,2460.335709358473
1001," Burbiškės, Eišiškių pl., 3 kambarių butas",www.aruodas.lt/1-3003705,115000,64.0,23,2021-02-25,2021-02-25,1,3,1,5,2020,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Burbiškės,1796.875
1002," Liepkalnis, Liepkalnio g., 2 kambarių butas",www.aruodas.lt/1-2917297,41900,28.62,20,2021-02-25,2021-04-02,1,2,2,2,1940,Rąstinis,Kietu kuru,Įrengtas,Sena statyba,Liepkalnis,1464.011180992313
1003," Justiniškės, Rygos g., 3 kambarių butas",www.aruodas.lt/1-2993283,110000,93.0,8,2021-02-25,2021-03-04,1,3,7,9,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Justiniškės,1182.7956989247311
1004," Pašilaičiai, Leičių g., 2 kambarių butas",www.aruodas.lt/1-3003581,83000,49.0,13,2021-02-25,2021-03-12,1,2,9,9,2021,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Pašilaičiai,1693.8775510204082
1005," Grigiškės, Vilniaus g., 2 kambarių butas",www.aruodas.lt/1-3003399,52000,41.65,17,2021-02-24,2021-03-25,1,2,1,3,1962,Mūrinis,Centrinis,Įrengtas,Sena statyba,Grigiškės,1248.499399759904
1006," Antakalnis, Rokantiškių Sodų 16-oji g., 3 kambarių butas",www.aruodas.lt/1-3003311,115000,69.06,5,2021-02-24,2021-03-17,1,3,1,2,2020,Mūrinis,Centrinis,Dalinė apdaila ,Nauja statyba,Antakalnis,1665.218650448885
1007," Burbiškės, Eišiškių pl., 2 kambarių butas",www.aruodas.lt/1-3003265,99000,45.0,15,2021-02-24,2021-02-24,1,2,5,5,2020,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Burbiškės,2200.0
1008," Naujininkai, Kapsų g., 3 kambarių butas",www.aruodas.lt/1-3003231,122900,55.39,9,2021-02-24,2021-03-12,1,3,5,7,2020,Kita,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Naujininkai,2218.812059938617
1009," Naujamiestis, Kapsų g., 3 kambarių butas",www.aruodas.lt/1-2981739,122900,55.39,20,2021-01-11,2021-03-15,1,3,5,7,2020,Kita,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Naujamiestis,2218.812059938617
1010," Karoliniškės, Algimanto Petro Kavoliuko g., 2 kambarių butas",www.aruodas.lt/1-3003071,80700,42.51,3,2021-02-23,2021-03-10,1,2,2,5,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Karoliniškės,1898.376852505293
1011," Žvėrynas, Latvių g., 2 kambarių butas",www.aruodas.lt/1-3003003,106000,49.34,19,2021-02-23,2021-03-26,1,2,1,9,1984,Mūrinis,Centrinis,Įrengtas,Sena statyba,Žvėrynas,2148.358329955411
1012," Pašilaičiai, Pavilnionių g., 2 kambarių butas",www.aruodas.lt/1-2748991,93000,60.03,55,2021-02-23,2021-03-10,1,2,6,8,2006,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Pašilaičiai,1549.2253873063469
1013," Justiniškės, Rygos g., 2 kambarių butas",www.aruodas.lt/1-2993965,77000,53.92,4,2021-02-23,2021-04-02,1,2,8,9,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Justiniškės,1428.0415430267062
1014," Naujamiestis, S. Konarskio g., 3 kambarių butas",www.aruodas.lt/1-2985131,125000,85.19,126,2021-02-23,2021-02-23,1,3,2,4,2016,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Sena statyba,Naujamiestis,1467.3083695269397
1015," Baltupiai, Didlaukio g., 2 kambarių butas",www.aruodas.lt/1-3002721,69900,34.24,8,2021-02-23,2021-03-05,1,2,4,5,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Baltupiai,2041.4719626168223
1016," Baltupiai, Didlaukio g., 2 kambarių butas",www.aruodas.lt/1-3002719,53200,36.14,41,2021-02-23,2021-03-12,1,2,1,5,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Baltupiai,1472.0531267293857
1017," Lazdynėliai, Lazdynėlių g., 3 kambarių butas",www.aruodas.lt/1-2870337,105000,54.58,51,2021-02-22,2021-02-22,1,3,2,4,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Lazdynėliai,1923.7816049835105
1018," Lazdynėliai, Lazdynėlių g., 2 kambarių butas",www.aruodas.lt/1-2943107,84000,41.93,49,2021-02-22,2021-02-22,1,2,3,4,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Lazdynėliai,2003.338898163606
1019," Pilaitė, Gilužio g., 3 kambarių butas",www.aruodas.lt/1-2941137,122000,59.81,7,2021-02-22,2021-02-22,1,3,1,3,2020,Mūrinis,Dujinis,Dalinė apdaila ,Nauja statyba,Pilaitė,2039.792676809898
1020," Pilaitė, Gilužio g., 2 kambarių butas",www.aruodas.lt/1-2931301,102000,49.23,21,2021-02-22,2021-02-22,1,2,1,3,2021,Mūrinis,Dujinis,Dalinė apdaila ,Nauja statyba,Pilaitė,2071.9073735527118
1021," Pilaitė, Gilužio g., 3 kambarių butas",www.aruodas.lt/1-2930493,135000,66.75,24,2021-02-22,2021-02-22,1,3,3,3,2020,Mūrinis,Dujinis,Dalinė apdaila ,Nauja statyba,Pilaitė,2022.4719101123596
1022," Šnipiškės, Kalvarijų g., 3 kambarių butas",www.aruodas.lt/1-3002663,80000,46.87,17,2021-02-22,2021-03-12,1,3,8,9,1990,Mūrinis,Centrinis,Dalinė apdaila ,Sena statyba,Šnipiškės,1706.8487305312567
1023," Bajorai, Bajorų Sodų 2-oji g., 2 kambarių butas",www.aruodas.lt/1-2957645,99000,42.28,41,2021-02-22,2021-03-15,1,2,2,2,2015,Mūrinis,Dujinis,Įrengtas,Sena statyba,Bajorai,2341.5326395458846
1024," Jeruzalė, Mykolo Marcinkevičiaus g., 2 kambarių butas",www.aruodas.lt/1-2995017,88000,48.16,97,2021-02-22,2021-03-04,1,2,6,6,2000,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Jeruzalė,1827.2425249169437
1025," Pavilnys, Strielčiukų g., 3 kambarių butas",www.aruodas.lt/1-2919463,29900,70.0,100,2021-02-22,2021-02-22,1,3,1,2,1960,Medinis,Kietu kuru,Dalinė apdaila ,Sena statyba,Pavilnys,427.14285714285717
1026," Baltupiai, Didlaukio g., 2 kambarių butas",www.aruodas.lt/1-3002491,76100,37.58,4,2021-02-22,2021-04-08,1,2,4,5,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Baltupiai,2025.0133049494414
